Elements,List,Array
1000000,0.001645,0.000982
1100000,0.001822,0.001082
1200000,0.001980,0.001187
1300000,0.002147,0.001277
1400000,0.002322,0.001424
1500000,0.002478,0.001473
1600000,0.002680,0.001927
1700000,0.002796,0.001672
1800000,0.002979,0.001770
1900000,0.003201,0.002111
2000000,0.003365,0.001968
2100000,0.003465,0.002135
2200000,0.003623,0.002164
2300000,0.003803,0.002267
2400000,0.003950,0.002360
2500000,0.004119,0.002460
2600000,0.004269,0.002563
2700000,0.004447,0.002706
2800000,0.004571,0.002947
2900000,0.004905,0.002924
3000000,0.004901,0.002960
3100000,0.005131,0.003058
3200000,0.005224,0.003153
3300000,0.005353,0.003269
3400000,0.005636,0.003362
3500000,0.005668,0.003739
3600000,0.006266,0.003687
3700000,0.006118,0.003660
3800000,0.006199,0.003827
3900000,0.006590,0.003753
4000000,0.006588,0.004195
4100000,0.006709,0.004088
4200000,0.006793,0.004365
4300000,0.007043,0.004253
4400000,0.007472,0.004463
4500000,0.007986,0.006112
4600000,0.008295,0.004661
4700000,0.008276,0.004805
4800000,0.008086,0.004950
4900000,0.008148,0.005040
5000000,0.008777,0.005157
5100000,0.008562,0.005258
5200000,0.008337,0.005418
5300000,0.009035,0.005269
5400000,0.009108,0.005540
5500000,0.009209,0.005441
5600000,0.009435,0.005466
5700000,0.009674,0.005592
5800000,0.009361,0.005657
5900000,0.009801,0.005769
6000000,0.009687,0.005993
6100000,0.010048,0.006025
6200000,0.010022,0.006157
6300000,0.010261,0.006409
6400000,0.010752,0.006442
6500000,0.010535,0.006409
6600000,0.010676,0.006456
6700000,0.011000,0.006612
6800000,0.011238,0.006631
6900000,0.011306,0.007033
7000000,0.011527,0.007252
7100000,0.011421,0.007147
7200000,0.011704,0.007269
7300000,0.012186,0.007583
7400000,0.012280,0.008911
7500000,0.013013,0.008052
7600000,0.012648,0.007742
7700000,0.012869,0.007867
7800000,0.012933,0.008351
7900000,0.013219,0.008061
8000000,0.013298,0.008200
8100000,0.013823,0.008439
8200000,0.013770,0.008318
8300000,0.013810,0.010608
8400000,0.014022,0.008846
8500000,0.015697,0.009085
8600000,0.015081,0.009648
8700000,0.014404,0.009470
8800000,0.017563,0.009930
8900000,0.016653,0.009249
9000000,0.017321,0.009448
9100000,0.016538,0.009589
9200000,0.015247,0.010839
9300000,0.016926,0.010215
9400000,0.015373,0.010777
9500000,0.015388,0.010803
9600000,0.016794,0.010909
9700000,0.015918,0.010422
9800000,0.016022,0.009979
9900000,0.016194,0.010143
10000000,0.016270,0.010404
10100000,0.016279,0.010284
10200000,0.016524,0.010586
10300000,0.016746,0.010520
10400000,0.016913,0.010658
10500000,0.016992,0.010779
10600000,0.017120,0.010856
10700000,0.017582,0.011431
10800000,0.017506,0.011271
10900000,0.017974,0.011729
